district,name,state,chamber,party
District 5,Jessee Carlton Fleenor,Louisiana,house,
District 5,Kyle Randol,Louisiana,house,
District 5,Billy Burkette,Louisiana,house,
District 6,Garret Graves,Louisiana,house,
District 6,Justin DeWitt,Louisiana,house,
District 6,Andie Saizan,Louisiana,house,
District 6,Devin Lance Graham,Louisiana,house,
District 1,Chellie Pingree,Maine,house,
District 1,Mark Holbrook,Maine,house,
District 1,Martin Grohman,Maine,house,
District 2,Bruce Poliquin,Maine,house,
District 2,Jared Golden,Maine,house,
District 2,Tiffany Bond,Maine,house,
District 2,Will Hoar,Maine,house,
District 2,Dennis O'Connor,Maine,house,
District 2,Danielle VanHelsing,Maine,house,
District 2,Henry John Bear,Maine,house,
District 1,Andy Harris,Maryland,house,
District 1,Jesse Colvin,Maryland,house,
District 1,Jenica Martin,Maryland,house,
District 2,Dutch Ruppersberger,Maryland,house,
District 2,Liz Matory,Maryland,house,
District 2,Guy Mimoun,Maryland,house,
District 2,Michael Carney,Maryland,house,
District 3,John Sarbanes,Maryland,house,
District 3,Charles Anthony,Maryland,house,
District 3,David Lashar,Maryland,house,
District 4,Anthony Brown,Maryland,house,
District 4,George McDermott,Maryland,house,
District 4,David Bishop,Maryland,house,
District 5,Steny Hoyer,Maryland,house,
District 5,William Devine III,Maryland,house,
District 5,Jacob Pulcher,Maryland,house,
District 5,Patrick Elder,Maryland,house,
District 6,David Trone,Maryland,house,
District 6,Amie Hoeber,Maryland,house,
District 6,George Gluck,Maryland,house,
District 6,Kevin Caldwell,Maryland,house,
District 6,Ted Athey,Maryland,house,
District 7,Elijah Cummings,Maryland,house,
District 7,Richmond Davis,Maryland,house,
District 7,David Griggs,Maryland,house,
District 8,Jamie Raskin,Maryland,house,
District 8,John Walsh,Maryland,house,
District 8,Jasen Wunder,Maryland,house,
District 1,Richard Neal,Massachusetts,house,
District 2,Jim McGovern,Massachusetts,house,
District 2,Tracy Lovvorn,Massachusetts,house,
District 2,Paul Grady,Massachusetts,house,
District 3,Lori Trahan,Massachusetts,house,
District 3,Rick Green,Massachusetts,house,
District 3,Mike Mullen,Massachusetts,house,
District 4,Joseph Kennedy III,Massachusetts,house,
District 5,Katherine Clark,Massachusetts,house,
District 5,John Hugo,Massachusetts,house,
District 6,Seth Moulton,Massachusetts,house,
District 6,Joseph Schneider,Massachusetts,house,
District 6,Mary Jean Charbonneau,Massachusetts,house,
District 7,Ayanna Pressley,Massachusetts,house,
District 8,Stephen Lynch,Massachusetts,house,
District 9,Bill Keating,Massachusetts,house,
District 9,Peter Tedeschi,Massachusetts,house,
District 1,Jack Bergman,Michigan,house,
District 1,Matthew Morgan,Michigan,house,
District 2,Bill Huizenga,Michigan,house,
District 2,Rob Davidson,Michigan,house,
District 2,Ronald Graeser,Michigan,house,
District 3,Justin Amash,Michigan,house,
District 3,Cathy Albro,Michigan,house,
District 3,Ted Gerrard,Michigan,house,
District 4,John Moolenaar,Michigan,house,
District 4,Jerry Hilliard,Michigan,house,
District 5,Dan Kildee,Michigan,house,
District 5,Travis Wines,Michigan,house,
District 5,Kathy Goodwin,Michigan,house,
District 6,Fred Upton,Michigan,house,
District 6,Matt Longjohn,Michigan,house,
District 6,Stephen J. Young,Michigan,house,
District 7,Tim Walberg,Michigan,house,
District 7,Gretchen Driskell,Michigan,house,
District 8,Mike Bishop,Michigan,house,
District 8,Elissa Slotkin,Michigan,house,
District 8,Brian Ellison,Michigan,house,
District 8,David Jay Lillis,Michigan,house,
District 9,Andy Levin,Michigan,house,
District 9,Candius Stearns,Michigan,house,
District 9,John McDermott,Michigan,house,
District 9,Andrea Kirby,Michigan,house,
District 10,Paul Mitchell,Michigan,house,
District 10,Kimberly Bizon,Michigan,house,
District 10,Harley Mikkelson,Michigan,house,
District 10,Jeremy Peruski,Michigan,house,
District 11,Haley Stevens,Michigan,house,
District 11,Lena Epstein,Michigan,house,
District 11,Leonard Schwartz ,Michigan,house,
District 11,Cooper Nye,Michigan,house,
District 12,Debbie Dingell,Michigan,house,
District 12,Jeff Jones,Michigan,house,
District 12,Steve Young,Michigan,house,
District 12,Niles Niemuth,Michigan,house,
District 12,Gary Walkowicz,Michigan,house,
District 13,Rashida Tlaib,Michigan,house,
District 13,D. Etta Wilcoxon,Michigan,house,
District 13,Sam Johnson,Michigan,house,
District 14,Brenda Lawrence,Michigan,house,
District 14,Marc Herschfus,Michigan,house,
District 14,Philip Kolody,Michigan,house,
District 2,Jason Lewis,Minnesota,house,
District 2,Angie Craig,Minnesota,house,
District 2,Bradley Svenson,Minnesota,house,
District 3,Erik Paulsen,Minnesota,house,
District 3,Dean Phillips,Minnesota,house,
District 4,Betty McCollum,Minnesota,house,
District 4,Greg Ryan,Minnesota,house,
District 4,Susan Pendergast Sindt,Minnesota,house,
District 5,Ilhan Omar,Minnesota,house,
District 5,Jennifer Zielinski,Minnesota,house,
District 5,Les Lester,Minnesota,house,
District 6,Tom Emmer,Minnesota,house,
District 6,Ian Todd,Minnesota,house,
District 7,Collin Peterson,Minnesota,house,
District 7,Dave Hughes,Minnesota,house,
District 1,Trent Kelly,Mississippi,house,
District 1,Randy Wadkins,Mississippi,house,
District 1,Tracella Lou O'Hara Hill,Mississippi,house,
District 2,Bennie Thompson,Mississippi,house,
District 2,Troy Ray,Mississippi,house,
District 2,Irving Harris,Mississippi,house,
District 3,Michael Evans,Mississippi,house,
District 3,Michael Guest,Mississippi,house,
District 3,Matthew Holland,Mississippi,house,
District 4,Steven Palazzo,Mississippi,house,
District 4,Jeramey Anderson,Mississippi,house,
District 4,Lajena Sheets,Mississippi,house,
District 1,William Lacy Clay,Missouri,house,
District 1,Robert Vroman,Missouri,house,
District 1,Robb Cunningham,Missouri,house,
,Greg Gianforte,Montana,house,
,Kathleen Williams,Montana,house,
,Elinor Swanson,Montana,house,
,Doug Campbell,Montana,house,
District 1,Jeff Fortenberry,Nebraska,house,
District 1,Jessica McClure,Nebraska,house,
District 2,Don Bacon,Nebraska,house,
District 2,Kara Eastman,Nebraska,house,
District 3,Adrian Smith,Nebraska,house,
District 3,Paul Theobald,Nebraska,house,
District 1,Dina Titus,Nevada,house,
District 1,Joyce Bentley,Nevada,house,
District 1,Daniel Garfield,Nevada,house,
District 1,Robert Van Strawder,Nevada,house,
District 2,Mark Amodei,Nevada,house,
District 2,Clint Koble,Nevada,house,
District 3,Susie Lee,Nevada,house,
District 3,Danny Tarkanian,Nevada,house,
District 3,Harry Vickers,Nevada,house,
District 3,Steven Brown,Nevada,house,
District 3,Gilbert Eisner,Nevada,house,
District 3,David Goossen,Nevada,house,
District 3,Tony Gumina,Nevada,house,
District 4,Steven Horsford,Nevada,house,
District 4,Cresent Hardy,Nevada,house,
District 4,Warren Markowitz,Nevada,house,
District 4,Gregg Luckner,Nevada,house,
District 4,Dean McGonigle,Nevada,house,
District 4,Rodney Smith,Nevada,house,
,Chris Pappas,New_Hampshire,house,
,Eddie Edwards,New_Hampshire,house,
,Dan Belforti,New_Hampshire,house,
,Shawn O&#39;Connor,New_Hampshire,house,
District 1,Donald Norcross,New_Jersey,house,
District 1,Paul Dilks,New_Jersey,house,
District 1,Robert Shapiro,New_Jersey,house,
District 1,Paul Hamlin,New_Jersey,house,
District 1,Mohammad Kabir,New_Jersey,house,
District 2,Jeff Van Drew,New_Jersey,house,
District 2,Seth Grossman,New_Jersey,house,
District 2,John Ordille,New_Jersey,house,
District 2,Anthony Parisi Sanchez,New_Jersey,house,
District 2,William Benfer,New_Jersey,house,
District 2,Steven Fenichel,New_Jersey,house,
District 3,Tom MacArthur,New_Jersey,house,
District 3,Andrew Kim,New_Jersey,house,
District 3,Lawrence Berlinski Jr.,New_Jersey,house,
District 4,Chris Smith,New_Jersey,house,
District 4,Josh Welle,New_Jersey,house,
District 4,Michael Rufo,New_Jersey,house,
District 4,Brian Reynolds,New_Jersey,house,
District 4,Edward Stackhouse Jr.,New_Jersey,house,
District 4,Felicia Stoler,New_Jersey,house,
District 4,Allen Yusufov,New_Jersey,house,
District 5,Josh Gottheimer,New_Jersey,house,
District 5,John McCann,New_Jersey,house,
District 5,James Tosone,New_Jersey,house,
District 5,Wendy Goetz,New_Jersey,house,
District 6,Frank Pallone,New_Jersey,house,
District 6,Rich Pezzullo,New_Jersey,house,
District 7,Leonard Lance,New_Jersey,house,
District 7,Tom Malinowski,New_Jersey,house,
District 7,Diane Moxley,New_Jersey,house,
District 7,Gregg Mele,New_Jersey,house,
District 8,Albio Sires,New_Jersey,house,
District 8,John Muniz,New_Jersey,house,
District 8,Dan Delaney,New_Jersey,house,
District 8,Mahmoud Mahmoud,New_Jersey,house,
